Benchmark,dotnetcore_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm-interpreter
System.Collections.IterateForEach<String>.ImmutableStack(Size: 512),1.00,1.00,0.98,
System.Collections.IterateForEach<String>.ImmutableSortedDictionary(Size: 512),1.00,1.00,1.02,
System.Collections.IterateForEach<String>.ImmutableSortedSet(Size: 512),1.00,1.00,1.09,
System.Linq.Tests.Perf_OrderBy.OrderByString(NumberOfPeople: 512),1.00,1.00,1.03,
System.Linq.Tests.Perf_OrderBy.OrderByValueType(NumberOfPeople: 512),1.00,1.00,1.02,
System.Linq.Tests.Perf_OrderBy.OrderByCustomComparer(NumberOfPeople: 512),1.00,1.00,1.01,
System.Tests.Perf_Random.ctor,1.00,1.00,1.02,
System.Tests.Perf_Random.Next_int,1.00,1.00,0.98,
System.Tests.Perf_Random.Next_int_int,1.00,1.00,0.99,
System.Tests.Perf_Random.NextBytes,1.00,1.00,0.99,
System.Tests.Perf_Random.NextDouble,1.00,1.00,1.02,
BenchmarksGame.RegexRedux_5.RunBench(options: None),1.00,1.00,1.00,
BenchmarksGame.RegexRedux_5.RunBench(options: Compiled),1.00,1.00,0.99,
System.Text.Json.Serialization.Tests.WritePreservedReferences<Location>.SerializePreserved,1.00,1.00,1.02,
System.Text.Json.Serialization.Tests.WritePreservedReferences<Location>.NewtonsoftSerializePreserved,1.00,1.00,1.02,
System.Globalization.Tests.Perf_DateTimeCultureInfo.ToStringHebrewIsrael,1.00,1.00,1.06,
System.Globalization.Tests.Perf_DateTimeCultureInfo.ToString(culturestring: ),1.00,1.00,1.02,
System.Globalization.Tests.Perf_DateTimeCultureInfo.Parse(culturestring: ),1.00,1.00,1.02,
System.Globalization.Tests.Perf_DateTimeCultureInfo.ToString(culturestring: da),1.00,1.00,1.02,
System.Globalization.Tests.Perf_DateTimeCultureInfo.Parse(culturestring: da),1.00,1.00,1.00,
System.Globalization.Tests.Perf_DateTimeCultureInfo.ToString(culturestring: fr),1.00,1.00,1.05,
System.Globalization.Tests.Perf_DateTimeCultureInfo.Parse(culturestring: fr),1.00,1.00,1.00,
System.Globalization.Tests.Perf_DateTimeCultureInfo.ToString(culturestring: ja),1.00,1.00,1.00,
System.Globalization.Tests.Perf_DateTimeCultureInfo.Parse(culturestring: ja),1.00,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<Location>.XmlSerializer_,1.00,1.00,1.03,
MicroBenchmarks.Serializers.Xml_FromStream<Location>.DataContractSerializer_,1.00,1.00,0.99,
System.Text.Tests.Perf_Encoding.GetBytes(size: 16; encName: "ascii"),1.00,1.00,0.98,
System.Text.Tests.Perf_Encoding.GetString(size: 16; encName: "ascii"),1.00,1.00,1.01,
System.Text.Tests.Perf_Encoding.GetChars(size: 16; encName: "ascii"),1.00,1.00,1.04,
System.Text.Tests.Perf_Encoding.GetEncoder(size: 16; encName: "ascii"),1.00,1.00,1.00,
System.Text.Tests.Perf_Encoding.GetByteCount(size: 16; encName: "ascii"),1.00,1.00,1.00,
System.Text.Tests.Perf_Encoding.GetBytes(size: 16; encName: "utf-8"),1.00,1.00,0.98,
System.Text.Tests.Perf_Encoding.GetString(size: 16; encName: "utf-8"),1.00,1.00,0.99,
System.Text.Tests.Perf_Encoding.GetChars(size: 16; encName: "utf-8"),1.00,1.00,1.03,
System.Text.Tests.Perf_Encoding.GetEncoder(size: 16; encName: "utf-8"),1.00,1.00,1.03,
System.Text.Tests.Perf_Encoding.GetByteCount(size: 16; encName: "utf-8"),1.00,1.00,1.09,
System.Text.Tests.Perf_Encoding.GetBytes(size: 512; encName: "ascii"),1.00,1.00,1.01,
System.Text.Tests.Perf_Encoding.GetString(size: 512; encName: "ascii"),1.00,1.00,0.97,
System.Text.Tests.Perf_Encoding.GetChars(size: 512; encName: "ascii"),1.00,1.00,0.99,
System.Text.Tests.Perf_Encoding.GetEncoder(size: 512; encName: "ascii"),1.00,1.00,0.93,
System.Text.Tests.Perf_Encoding.GetByteCount(size: 512; encName: "ascii"),1.00,1.00,0.97,
System.Text.Tests.Perf_Encoding.GetBytes(size: 512; encName: "utf-8"),1.00,1.00,1.03,
System.Text.Tests.Perf_Encoding.GetString(size: 512; encName: "utf-8"),1.00,1.00,0.98,
System.Text.Tests.Perf_Encoding.GetChars(size: 512; encName: "utf-8"),1.00,1.00,1.02,
System.Text.Tests.Perf_Encoding.GetEncoder(size: 512; encName: "utf-8"),1.00,1.00,0.92,
System.Text.Tests.Perf_Encoding.GetByteCount(size: 512; encName: "utf-8"),1.00,1.00,0.97,
System.Collections.CtorDefaultSizeNonGeneric.ArrayList,1.00,1.00,1.08,
System.Collections.CtorDefaultSizeNonGeneric.Hashtable,1.00,1.00,1.02,
System.Collections.CtorDefaultSizeNonGeneric.Queue,1.00,1.00,1.01,
System.Collections.CtorDefaultSizeNonGeneric.Stack,1.00,1.00,1.01,
System.Collections.CtorDefaultSizeNonGeneric.SortedList,1.00,1.00,0.92,
System.IO.Tests.Perf_Path.Combine,1.00,1.00,1.03,
System.IO.Tests.Perf_Path.GetFileName,1.00,1.00,1.04,
System.IO.Tests.Perf_Path.GetDirectoryName,1.00,1.00,1.05,
System.IO.Tests.Perf_Path.ChangeExtension,1.00,1.00,1.00,
System.IO.Tests.Perf_Path.GetExtension,1.00,1.00,1.15,
System.IO.Tests.Perf_Path.GetFileNameWithoutExtension,1.00,1.00,1.05,
System.IO.Tests.Perf_Path.GetFullPathForLegacyLength,1.00,1.00,0.99,
System.IO.Tests.Perf_Path.GetFullPathForTypicalLongPath,1.00,1.00,1.01,
System.IO.Tests.Perf_Path.GetFullPathForReallyLongPath,1.00,1.00,1.01,
System.IO.Tests.Perf_Path.GetPathRoot,1.00,1.00,0.93,
System.IO.Tests.Perf_Path.GetRandomFileName,1.00,1.00,0.99,
System.IO.Tests.Perf_Path.GetTempPath,1.00,1.00,1.10,
System.IO.Tests.Perf_Path.HasExtension,1.00,1.00,1.00,
System.IO.Tests.Perf_Path.IsPathRooted,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.ReadPreservedReferences<MyEventsListerViewModel>.DeserializePre...,1.00,1.00,0.96,
System.Text.Json.Serialization.Tests.ReadPreservedReferences<MyEventsListerViewModel>.NewtonsoftDese...,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.ReadPreservedReferences<MyEventsListerViewModel>.DeserializePre...,1.00,1.00,0.98,
System.Text.Json.Serialization.Tests.ReadPreservedReferences<MyEventsListerViewModel>.NewtonsoftDese...,1.00,1.00,0.99,
System.Text.Json.Serialization.Tests.ReadJson<Dictionary<String; String>>.DeserializeFromString,1.00,1.00,0.99,
System.Text.Json.Serialization.Tests.ReadJson<Dictionary<String; String>>.DeserializeFromUtf8Bytes,1.00,1.00,0.99,
System.Text.Json.Serialization.Tests.ReadJson<Dictionary<String; String>>.DeserializeFromStream,1.00,1.00,1.00,
Benchstone.BenchI.Pi.Test,1.00,1.00,1.01,
System.Collections.ContainsTrue<Int32>.Array(Size: 512),1.00,1.00,0.98,
System.Collections.ContainsTrue<Int32>.Span(Size: 512),1.00,1.00,0.98,
System.Collections.ContainsTrue<Int32>.List(Size: 512),1.00,1.00,1.02,
System.Collections.ContainsTrue<Int32>.ICollection(Size: 512),1.00,1.00,1.01,
System.Collections.ContainsTrue<Int32>.LinkedList(Size: 512),1.00,1.00,1.04,
System.Collections.ContainsTrue<Int32>.HashSet(Size: 512),1.00,1.00,0.97,
System.Collections.ContainsTrue<Int32>.Queue(Size: 512),1.00,1.00,0.99,
System.Collections.ContainsTrue<Int32>.Stack(Size: 512),1.00,1.00,1.00,
System.Collections.ContainsTrue<Int32>.SortedSet(Size: 512),1.00,1.00,0.98,
System.Collections.ContainsTrue<Int32>.ImmutableArray(Size: 512),1.00,1.00,0.99,
System.Collections.ContainsTrue<Int32>.ImmutableHashSet(Size: 512),1.00,1.00,1.03,
System.Collections.ContainsTrue<Int32>.ImmutableList(Size: 512),1.00,1.00,1.02,
System.Collections.ContainsTrue<Int32>.ImmutableSortedSet(Size: 512),1.00,1.00,0.97,
System.Text.Json.Serialization.Tests.WritePreservedReferences<SimpleStructWithProperties>.SerializeP...,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.WritePreservedReferences<SimpleStructWithProperties>.Newtonsoft...,1.00,1.00,1.04,
PerfLabTests.BlockCopyPerf.CallBlockCopy(numElements: 0),1.00,1.00,1.00,
PerfLabTests.BlockCopyPerf.CallBlockCopy(numElements: 10),1.00,1.00,1.00,
PerfLabTests.BlockCopyPerf.CallBlockCopy(numElements: 100),1.00,1.00,1.03,
PerfLabTests.BlockCopyPerf.CallBlockCopy(numElements: 1000),1.00,1.00,0.99,
System.Collections.IterateFor<String>.Array(Size: 512),1.00,1.00,1.03,
System.Collections.IterateFor<String>.Span(Size: 512),1.00,1.00,0.99,
System.Collections.IterateFor<String>.ReadOnlySpan(Size: 512),1.00,1.00,1.03,
System.Collections.IterateFor<String>.List(Size: 512),1.00,1.00,1.02,
System.Collections.IterateFor<String>.IList(Size: 512),1.00,1.00,0.98,
System.Collections.IterateFor<String>.ImmutableArray(Size: 512),1.00,1.00,0.98,
System.Collections.IterateFor<String>.ImmutableList(Size: 512),1.00,1.00,1.16,
System.Collections.IterateFor<String>.ImmutableSortedSet(Size: 512),1.00,1.00,1.00,
System.Tests.Perf_UInt16.Parse(value: "0"),1.00,1.00,0.98,
System.Tests.Perf_UInt16.TryParse(value: "0"),1.00,1.00,0.91,
System.Tests.Perf_UInt16.ToString(value: 0),SMALL,SMALL,SMALL,
System.Tests.Perf_UInt16.Parse(value: "12345"),1.00,1.00,0.90,
System.Tests.Perf_UInt16.TryParse(value: "12345"),1.00,1.00,0.93,
System.Tests.Perf_UInt16.ToString(value: 12345),1.00,1.00,0.98,
System.Tests.Perf_UInt16.Parse(value: "65535"),1.00,1.00,1.00,
System.Tests.Perf_UInt16.TryParse(value: "65535"),1.00,1.00,1.01,
System.Tests.Perf_UInt16.ToString(value: 65535),1.00,1.00,1.03,
System.Text.Tests.Perf_StringBuilder.AppendLine_Strings,1.00,1.00,0.97,
System.Text.Tests.Perf_StringBuilder.Append_Primitives,1.00,1.00,1.00,
System.Text.Tests.Perf_StringBuilder.Append_ValueTypes,1.00,1.00,1.03,
System.Text.Tests.Perf_StringBuilder.Append_Memory,1.00,1.00,1.03,
System.Text.Tests.Perf_StringBuilder.Insert_Strings,1.00,1.00,1.03,
System.Text.Tests.Perf_StringBuilder.Append_Strings(repeat: 1),1.00,1.00,1.00,
System.Text.Tests.Perf_StringBuilder.ctor_string(length: 100),1.00,1.00,1.03,
System.Text.Tests.Perf_StringBuilder.ctor_capacity(length: 100),1.00,1.00,1.02,
System.Text.Tests.Perf_StringBuilder.ToString_SingleSegment(length: 100),1.00,1.00,1.04,
System.Text.Tests.Perf_StringBuilder.ToString_MultipleSegments(length: 100),1.00,1.00,0.99,
System.Text.Tests.Perf_StringBuilder.Append_Char(length: 100),1.00,1.00,0.98,
System.Text.Tests.Perf_StringBuilder.Append_Char_Capacity(length: 100),1.00,1.00,0.97,
System.Text.Tests.Perf_StringBuilder.Append_Strings(repeat: 1000),1.00,1.00,0.96,
System.Text.Tests.Perf_StringBuilder.ctor_string(length: 100000),1.00,1.00,0.98,
System.Text.Tests.Perf_StringBuilder.ctor_capacity(length: 100000),1.00,1.00,0.98,
System.Text.Tests.Perf_StringBuilder.ToString_SingleSegment(length: 100000),1.00,1.00,1.00,
System.Text.Tests.Perf_StringBuilder.ToString_MultipleSegments(length: 100000),1.00,1.00,0.95,
System.Text.Tests.Perf_StringBuilder.Append_Char(length: 100000),1.00,1.00,1.00,
System.Text.Tests.Perf_StringBuilder.Append_Char_Capacity(length: 100000),1.00,1.00,1.03,
MicroBenchmarks.Serializers.Xml_FromStream<ClassImplementingIXmlSerialiable>.XmlSerializer_,1.00,1.00,1.03,
MicroBenchmarks.Serializers.Xml_FromStream<ClassImplementingIXmlSerialiable>.DataContractSerializer_,1.00,1.00,1.02,
System.Memory.ReadOnlySequence.Slice_StartPosition(Segment: Single),1.00,1.00,1.11,
System.Memory.ReadOnlySequence.Slice_Start(Segment: Single),1.00,1.00,1.03,
System.Memory.ReadOnlySequence.Slice_Start_And_Length(Segment: Single),1.00,1.00,1.01,
System.Memory.ReadOnlySequence.Slice_Start_And_EndPosition(Segment: Single),1.00,1.00,1.00,
System.Memory.ReadOnlySequence.Slice_StartPosition_And_Length(Segment: Single),1.00,1.00,0.95,
System.Memory.ReadOnlySequence.Slice_StartPosition_And_EndPosition(Segment: Single),1.00,1.00,0.96,
System.Memory.ReadOnlySequence.Slice_Repeat(Segment: Single),1.00,1.00,0.97,
System.Memory.ReadOnlySequence.Slice_Repeat_StartPosition_And_EndPosition(Segment: Single),1.00,1.00,1.00,
System.Memory.ReadOnlySequence.Slice_StartPosition(Segment: Multiple),1.00,1.00,1.00,
System.Memory.ReadOnlySequence.Slice_Start(Segment: Multiple),1.00,1.00,1.00,
System.Memory.ReadOnlySequence.Slice_Start_And_Length(Segment: Multiple),1.00,1.00,1.05,
System.Memory.ReadOnlySequence.Slice_Start_And_EndPosition(Segment: Multiple),1.00,1.00,1.03,
System.Memory.ReadOnlySequence.Slice_StartPosition_And_Length(Segment: Multiple),1.00,1.00,1.02,
System.Memory.ReadOnlySequence.Slice_StartPosition_And_EndPosition(Segment: Multiple),1.00,1.00,1.01,
System.Memory.ReadOnlySequence.Slice_Repeat(Segment: Multiple),1.00,1.00,1.03,
System.Memory.ReadOnlySequence.Slice_Repeat_StartPosition_And_EndPosition(Segment: Multiple),1.00,1.00,1.02,
System.Text.Json.Serialization.Tests.WritePreservedReferences<SimpleListOfInt>.SerializePreserved,1.00,1.00,1.08,
System.Text.Json.Serialization.Tests.WritePreservedReferences<SimpleListOfInt>.NewtonsoftSerializePr...,1.00,1.00,1.06,
MicroBenchmarks.Serializers.Json_ToString<LoginViewModel>.Jil_,1.00,1.00,1.01,
MicroBenchmarks.Serializers.Json_ToString<LoginViewModel>.JsonNet_,1.00,1.00,0.99,
MicroBenchmarks.Serializers.Json_ToString<LoginViewModel>.Utf8Json_,1.00,1.00,1.02,
System.Collections.IndexerSetReverse<String>.Array(Size: 512),1.00,1.00,1.00,
System.Collections.IndexerSetReverse<String>.Span(Size: 512),1.00,1.00,0.98,
System.Collections.IndexerSetReverse<String>.List(Size: 512),1.00,1.00,0.98,
System.Collections.IndexerSetReverse<String>.IList(Size: 512),1.00,1.00,0.99,
PerfLabTests.CastingPerf2.CastingPerf.ObjFooIsObj,1.00,1.00,0.85,
PerfLabTests.CastingPerf2.CastingPerf.FooObjIsFoo,1.00,1.00,0.95,
PerfLabTests.CastingPerf2.CastingPerf.FooObjIsNull,1.00,1.00,0.89,
PerfLabTests.CastingPerf2.CastingPerf.FooObjIsDescendant,1.00,1.00,0.99,
PerfLabTests.CastingPerf2.CastingPerf.IFooFooIsIFoo,1.00,1.00,0.87,
PerfLabTests.CastingPerf2.CastingPerf.IFooObjIsIFoo,1.00,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.IFooObjIsIFooInterAlia,1.00,1.00,0.97,
PerfLabTests.CastingPerf2.CastingPerf.IFooObjIsDescendantOfIFoo,1.00,1.00,1.05,
PerfLabTests.CastingPerf2.CastingPerf.ObjInt,1.00,1.00,0.97,
PerfLabTests.CastingPerf2.CastingPerf.IntObj,1.00,1.00,0.98,
PerfLabTests.CastingPerf2.CastingPerf.ObjScalarValueType,1.00,1.00,1.02,
PerfLabTests.CastingPerf2.CastingPerf.ScalarValueTypeObj,1.00,1.00,1.01,
PerfLabTests.CastingPerf2.CastingPerf.ObjObjrefValueType,1.00,1.00,1.01,
PerfLabTests.CastingPerf2.CastingPerf.ObjrefValueTypeObj,1.00,1.00,0.97,
PerfLabTests.CastingPerf2.CastingPerf.FooObjCastIfIsa,1.00,1.00,0.96,
System.Text.Json.Serialization.Tests.WriteJson<ImmutableSortedDictionary<String; String>>.SerializeT...,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.WriteJson<ImmutableSortedDictionary<String; String>>.SerializeT...,1.00,1.00,1.01,
System.Text.Json.Serialization.Tests.WriteJson<ImmutableSortedDictionary<String; String>>.SerializeT...,1.00,1.00,1.04,
System.Text.Json.Serialization.Tests.WriteJson<ImmutableSortedDictionary<String; String>>.SerializeO...,1.00,1.00,1.02,
System.Text.Json.Serialization.Tests.ReadJson<IndexViewModel>.DeserializeFromString,1.00,1.00,1.01,
System.Text.Json.Serialization.Tests.ReadJson<IndexViewModel>.DeserializeFromUtf8Bytes,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.ReadJson<IndexViewModel>.DeserializeFromStream,1.00,1.00,1.00,
System.Threading.Channels.Tests.BoundedChannelPerfTests.TryWriteThenTryRead,1.00,1.00,1.00,
System.Threading.Channels.Tests.BoundedChannelPerfTests.WriteAsyncThenReadAsync,1.00,1.00,1.00,
System.Threading.Channels.Tests.BoundedChannelPerfTests.ReadAsyncThenWriteAsync,1.00,1.00,1.04,
System.Threading.Channels.Tests.BoundedChannelPerfTests.PingPong,1.00,1.00,1.00,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_ParallelAsync(Length: ...,1.00,1.00,1.03,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_SequentialAsync(Length...,1.00,1.00,1.06,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_ParallelAsync(Length: ...,1.00,1.00,0.97,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_SequentialAsync(Length...,1.00,1.00,0.94,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_ParallelAsync(Length: ...,1.00,1.00,0.98,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_SequentialAsync(Length...,1.00,1.00,1.04,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_ParallelAsync(Length: ...,1.00,1.00,0.96,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_SequentialAsync(Length...,1.00,1.00,0.98,
MicroBenchmarks.Serializers.Json_ToString<IndexViewModel>.Jil_,1.00,1.00,1.01,
MicroBenchmarks.Serializers.Json_ToString<IndexViewModel>.JsonNet_,1.00,1.00,1.01,
MicroBenchmarks.Serializers.Json_ToString<IndexViewModel>.Utf8Json_,1.00,1.00,1.02,
System.Memory.Span<Int32>.Clear(Size: 512),1.00,1.00,1.11,
System.Memory.Span<Int32>.Fill(Size: 512),1.00,1.00,1.04,
System.Memory.Span<Int32>.Reverse(Size: 512),1.00,1.00,1.01,
System.Memory.Span<Int32>.ToArray(Size: 512),1.00,1.00,1.00,
System.Memory.Span<Int32>.SequenceEqual(Size: 512),1.00,1.00,1.05,
System.Memory.Span<Int32>.SequenceCompareTo(Size: 512),1.00,1.00,1.00,
System.Memory.Span<Int32>.StartsWith(Size: 512),1.00,1.00,0.95,
System.Memory.Span<Int32>.EndsWith(Size: 512),1.00,1.00,1.01,
System.Memory.Span<Int32>.IndexOfValue(Size: 512),1.00,1.00,0.99,
System.Memory.Span<Int32>.IndexOfAnyTwoValues(Size: 512),1.00,1.00,1.01,
System.Memory.Span<Int32>.IndexOfAnyThreeValues(Size: 512),1.00,1.00,1.01,
System.Memory.Span<Int32>.IndexOfAnyFourValues(Size: 512),1.00,1.00,0.98,
System.Memory.Span<Int32>.LastIndexOfValue(Size: 512),1.00,1.00,0.95,
System.Memory.Span<Int32>.LastIndexOfAnyValues(Size: 512),1.00,1.00,1.01,
System.Memory.Span<Int32>.BinarySearch(Size: 512),1.00,1.00,1.01,
System.Memory.Span<Int32>.GetPinnableReference(Size: 512),SMALL,SMALL,SMALL,
System.Threading.Tests.Perf_Lock.ReaderWriterLockSlimPerf,1.00,1.00,1.05,
Benchstone.BenchF.Secant.Test,1.00,1.00,0.87,
MicroBenchmarks.Serializers.Xml_ToStream<Location>.XmlSerializer_,1.00,1.00,1.01,
MicroBenchmarks.Serializers.Xml_ToStream<Location>.DataContractSerializer_,1.00,1.00,1.02,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Email_IsMatch(Options: None),1.00,1.00,1.03,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Email_IsNotMatch(Options: None),1.00,1.00,1.02,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Date_IsMatch(Options: None),1.00,1.00,1.07,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Date_IsNotMatch(Options: None),1.00,1.00,1.00,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.IP_IsMatch(Options: None),1.00,1.00,0.99,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.IP_IsNotMatch(Options: None),1.00,1.00,0.98,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Uri_IsMatch(Options: None),1.00,1.00,0.97,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Uri_IsNotMatch(Options: None),1.00,1.00,0.99,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesSet(Options: None),1.00,1.00,1.00,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesBoundary(Options: None),1.00,1.00,1.00,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesWord(Options: None),1.00,1.00,0.99,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesWords(Options: None),1.00,1.00,1.00,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchWord(Options: None),1.00,1.00,0.99,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.ReplaceWords(Options: None),1.00,1.00,1.00,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.SplitWords(Options: None),1.00,1.00,0.99,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Ctor(Options: None),1.00,1.00,1.03,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.CtorInvoke(Options: None),1.00,1.00,1.04,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Email_IsMatch(Options: Compiled),1.00,1.00,1.01,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Email_IsNotMatch(Options: Compiled),1.00,1.00,1.01,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Date_IsMatch(Options: Compiled),1.00,1.00,1.01,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Date_IsNotMatch(Options: Compiled),1.00,1.00,1.00,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.IP_IsMatch(Options: Compiled),1.00,1.00,1.02,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.IP_IsNotMatch(Options: Compiled),1.00,1.00,1.03,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Uri_IsMatch(Options: Compiled),1.00,1.00,0.99,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Uri_IsNotMatch(Options: Compiled),1.00,1.00,1.01,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesSet(Options: Compiled),1.00,1.00,1.03,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesBoundary(Options: Compiled),1.00,1.00,1.07,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesWord(Options: Compiled),1.00,1.00,0.99,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesWords(Options: Compiled),1.00,1.00,0.99,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchWord(Options: Compiled),1.00,1.00,1.01,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.ReplaceWords(Options: Compiled),1.00,1.00,1.01,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.SplitWords(Options: Compiled),1.00,1.00,0.98,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Ctor(Options: Compiled),1.00,1.00,0.95,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.CtorInvoke(Options: Compiled),1.00,1.00,1.00,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Email_IsMatch(Options: IgnoreCase; Compiled),1.00,1.00,0.99,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Email_IsNotMatch(Options: IgnoreCase; Compile...,1.00,1.00,1.00,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Date_IsMatch(Options: IgnoreCase; Compiled),1.00,1.00,0.97,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Date_IsNotMatch(Options: IgnoreCase; Compiled...,1.00,1.00,1.02,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.IP_IsMatch(Options: IgnoreCase; Compiled),1.00,1.00,0.99,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.IP_IsNotMatch(Options: IgnoreCase; Compiled),1.00,1.00,1.04,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Uri_IsMatch(Options: IgnoreCase; Compiled),1.00,1.00,0.99,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Uri_IsNotMatch(Options: IgnoreCase; Compiled),1.00,1.00,1.01,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesSet(Options: IgnoreCase; Compiled),1.00,1.00,1.00,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesBoundary(Options: IgnoreCase; Compiled...,1.00,1.00,1.02,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesWord(Options: IgnoreCase; Compiled),1.00,1.00,1.07,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesWords(Options: IgnoreCase; Compiled),1.00,1.00,1.00,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchWord(Options: IgnoreCase; Compiled),1.00,1.00,1.04,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.ReplaceWords(Options: IgnoreCase; Compiled),1.00,1.00,0.97,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.SplitWords(Options: IgnoreCase; Compiled),1.00,1.00,0.97,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Ctor(Options: IgnoreCase; Compiled),1.00,1.00,0.99,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.CtorInvoke(Options: IgnoreCase; Compiled),1.00,1.00,1.02,
Benchstone.BenchF.SqMtx.Test,1.00,1.00,1.04,
Benchstone.BenchF.BenchMk2.Test,1.00,1.00,0.97,
BenchmarksGame.MandelBrot_7.Bench(size: 4000; lineLength: 500; checksum: "C7-E6-66-43-66-73-F8-A8-D3...,1.00,1.00,1.00,
System.IO.Compression.Deflate.Compress(level: Optimal; file: "TestDocument.pdf"),1.00,1.00,1.00,
System.IO.Compression.Deflate.Decompress(level: Optimal; file: "TestDocument.pdf"),1.00,1.00,1.00,
System.IO.Compression.Deflate.Compress(level: Optimal; file: "alice29.txt"),1.00,1.00,0.99,
System.IO.Compression.Deflate.Decompress(level: Optimal; file: "alice29.txt"),1.00,1.00,0.97,
System.IO.Compression.Deflate.Compress(level: Optimal; file: "sum"),1.00,1.00,0.96,
System.IO.Compression.Deflate.Decompress(level: Optimal; file: "sum"),1.00,1.00,0.96,
System.IO.Compression.Deflate.Compress(level: Fastest; file: "TestDocument.pdf"),1.00,1.00,0.97,
System.IO.Compression.Deflate.Decompress(level: Fastest; file: "TestDocument.pdf"),1.00,1.00,0.97,
System.IO.Compression.Deflate.Compress(level: Fastest; file: "alice29.txt"),1.00,1.00,1.00,
System.IO.Compression.Deflate.Decompress(level: Fastest; file: "alice29.txt"),1.00,1.00,1.00,
System.IO.Compression.Deflate.Compress(level: Fastest; file: "sum"),1.00,1.00,1.03,
System.IO.Compression.Deflate.Decompress(level: Fastest; file: "sum"),1.00,1.00,1.02,
