Benchmark,dotnet_core,mono_interpreter,mono_jit
System.Text.Json.Reader.Tests.Perf_Base64.ReadBase64EncodedByteArray_NoEscaping(NumberOfBytes: 100),1.00,214.53,3.04,
System.Text.Json.Reader.Tests.Perf_Base64.ReadBase64EncodedByteArray_HeavyEscaping(NumberOfBytes: 10...,1.00,192.72,2.71,
System.Text.Json.Reader.Tests.Perf_Base64.ReadBase64EncodedByteArray_NoEscaping(NumberOfBytes: 1000),1.00,636.33,7.03,
System.Text.Json.Reader.Tests.Perf_Base64.ReadBase64EncodedByteArray_HeavyEscaping(NumberOfBytes: 10...,1.00,607.54,6.68,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.00 pD=0.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.00 pD=0.33),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.00 pD=0.67),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.00 pD=1.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.33 pD=0.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.33 pD=0.33),1.00,5.17,1.17,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.33 pD=0.67),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.67 pD=0.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.67 pD=0.33),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=1.00 pD=0.00),SMALL,SMALL,SMALL,
System.Threading.Tasks.ValueTaskPerfTest.Await_FromResult,1.00,39.47,1.60,
System.Threading.Tasks.ValueTaskPerfTest.Await_FromCompletedTask,1.00,34.52,1.68,
System.Threading.Tasks.ValueTaskPerfTest.Await_FromCompletedValueTaskSource,1.00,22.65,1.36,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromResult,1.00,38.46,1.59,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromResult_ConfigureAwait,1.00,40.36,1.83,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromCompletedTask,1.00,30.95,1.31,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromCompletedTask_ConfigureAwait,1.00,33.58,1.51,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromCompletedValueTaskSource,1.00,24.36,1.06,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromCompletedValueTaskSource_ConfigureAwait,1.00,26.45,1.23,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromYieldingAsyncMethod,1.00,16.35,1.30,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromDelayedTCS,1.00,26.38,1.43,
System.Threading.Tasks.ValueTaskPerfTest.Copy_PassAsArgumentAndReturn_FromResult,1.00,14.89,0.71,
System.Threading.Tasks.ValueTaskPerfTest.Copy_PassAsArgumentAndReturn_FromTask,1.00,13.56,0.69,
System.Threading.Tasks.ValueTaskPerfTest.Copy_PassAsArgumentAndReturn_FromValueTaskSource,1.00,12.14,0.61,
Benchstone.BenchF.Adams.Test,1.00,32.71,1.48,
System.Memory.ReadOnlyMemory<Byte>.Pin(Size: 512),1.00,21.29,3.96,
System.Memory.ReadOnlyMemory<Byte>.ToArray(Size: 512),1.00,49.04,6.00,
XmlDocumentTests.XmlNodeListTests.Perf_XmlNodeList.Enumerator,1.00,15.33,1.02,
XmlDocumentTests.XmlNodeListTests.Perf_XmlNodeList.GetCount,1.00,18.88,1.65,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.10),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.20),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.30),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.40),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.50),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.60),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.70),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.80),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.90),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 1.00),SMALL,SMALL,SMALL,
System.Net.NetworkInformation.Tests.NetworkInterfaceTests.GetAllNetworkInterfaces,1.00,2.94,1.62,
System.Net.NetworkInformation.Tests.NetworkInterfaceTests.GetAllNetworkInterfacesProperties,1.00,1.94,1.14,
MicroBenchmarks.Serializers.Json_ToString<Location>.Jil_,1.00,18.33,1.55,
MicroBenchmarks.Serializers.Json_ToString<Location>.JsonNet_,1.00,22.84,1.58,
MicroBenchmarks.Serializers.Json_ToString<Location>.Utf8Json_,1.00,68.76,4.59,
System.Xml.Linq.Perf_XName.CreateElement,1.00,46.67,5.36,
System.Xml.Linq.Perf_XName.CreateElementWithNamespace,1.00,93.03,4.84,
System.Xml.Linq.Perf_XName.CreateElementWithNamespaceImplicitOperator,1.00,81.52,5.14,
System.Xml.Linq.Perf_XName.EmptyNameSpaceToString,SMALL,SMALL,SMALL,
System.Xml.Linq.Perf_XName.NonEmptyNameSpaceToString,1.00,24.48,1.74,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,40.77,1.42,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,18.26,1.24,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,38.59,1.49,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,19.27,1.13,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,21.30,1.16,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,17.26,2.58,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,17.55,2.57,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,19.81,1.43,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,23.81,1.19,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,9.19,1.09,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,24.83,1.32,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,15.65,1.18,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,21.45,1.22,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,9.30,1.21,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,19.74,1.88,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,35.53,2.59,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,253.28,2.52,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,279.39,2.56,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,232.42,2.30,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,16.96,2.00,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,215.20,2.12,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,287.75,2.46,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,232.42,2.02,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,15.01,2.37,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,185.93,2.11,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,296.99,3.34,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,209.04,2.24,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,15.40,1.94,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,190.09,2.25,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,292.93,3.35,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,170.79,2.17,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,15.72,2.31,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateTryGetArray,1.00,30.87,2.75,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateForEachArray,1.00,22.10,2.35,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateGetPositionArray,1.00,72.74,7.57,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstArray,1.00,10.07,0.99,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstSpanArray,1.00,14.75,1.08,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstSpanMemory,1.00,14.48,1.10,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstSpanSingleSegment,1.00,21.16,1.04,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstSpanTenSegments,1.00,21.59,1.04,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.SliceArray,1.00,17.31,1.64,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateTryGetMemory,1.00,20.99,1.83,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateForEachMemory,1.00,17.77,1.72,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateGetPositionMemory,1.00,42.86,4.73,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstMemory,1.00,10.50,1.01,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.SliceMemory,1.00,16.16,1.54,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateTryGetSingleSegment,1.00,23.16,1.97,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateForEachSingleSegment,1.00,17.84,1.61,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateGetPositionSingleSegment,1.00,53.84,5.81,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstSingleSegment,SMALL,SMALL,SMALL,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.SliceSingleSegment,1.00,17.29,1.58,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateTryGetTenSegments,1.00,59.62,4.31,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateForEachTenSegments,1.00,51.51,3.74,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateGetPositionTenSegments,1.00,20.53,2.06,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstTenSegments,SMALL,SMALL,SMALL,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.SliceTenSegments,1.00,16.87,1.57,
System.Numerics.Tests.Constructor.SpanCastBenchmark_Byte,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_SByte,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_UInt16,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_Int16,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_UInt32,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_Int32,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_UInt64,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_Int64,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_Single,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_Double,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_Byte,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_SByte,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_UInt16,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_Int16,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_UInt32,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_Int32,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_UInt64,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_Int64,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_Single,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_Double,SMALL,SMALL,SMALL,
Benchstone.BenchI.Puzzle.Test,1.00,9.88,1.29,
System.Collections.CtorGivenSizeNonGeneric.ArrayList(Size: 512),1.00,1.76,1.68,
System.Collections.CtorGivenSizeNonGeneric.Hashtable(Size: 512),1.00,12.86,13.45,
System.Collections.CtorGivenSizeNonGeneric.Queue(Size: 512),1.00,1.83,1.63,
System.Collections.CtorGivenSizeNonGeneric.Stack(Size: 512),1.00,1.76,1.65,
System.Collections.CtorGivenSizeNonGeneric.SortedList(Size: 512),1.00,1.94,1.87,
System.Collections.TryGetValueTrue<String; String>.Dictionary(Size: 512),1.00,17.04,1.90,
System.Collections.TryGetValueTrue<String; String>.IDictionary(Size: 512),1.00,16.70,1.92,
System.Collections.TryGetValueTrue<String; String>.SortedList(Size: 512),1.00,9.25,2.40,
System.Collections.TryGetValueTrue<String; String>.SortedDictionary(Size: 512),1.00,10.60,2.57,
System.Collections.TryGetValueTrue<String; String>.ConcurrentDictionary(Size: 512),1.00,24.69,1.77,
System.Collections.TryGetValueTrue<String; String>.ImmutableDictionary(Size: 512),1.00,18.32,1.99,
System.Collections.TryGetValueTrue<String; String>.ImmutableSortedDictionary(Size: 512),1.00,10.28,2.75,
System.Tests.Perf_IntPtr.ctor_int32,SMALL,SMALL,SMALL,
System.Tests.Perf_IntPtr.op_Equality_IntPtr_IntPtr,SMALL,SMALL,SMALL,
PerfLabTests.CastingPerf.ObjFooIsObj,1.00,3.75,0.55,
PerfLabTests.CastingPerf.ObjFooIsObj2,1.00,3.82,0.44,
PerfLabTests.CastingPerf.ObjObjIsFoo,1.00,4.18,0.20,
PerfLabTests.CastingPerf.FooObjIsFoo,1.00,3.44,0.53,
PerfLabTests.CastingPerf.FooObjIsFoo2,1.00,3.21,0.50,
PerfLabTests.CastingPerf.FooObjIsNull,1.00,3.77,0.56,
PerfLabTests.CastingPerf.FooObjIsDescendant,1.00,5.75,0.36,
PerfLabTests.CastingPerf.IFooFooIsIFoo,1.00,3.82,0.56,
PerfLabTests.CastingPerf.IFooObjIsIFoo,1.00,4.55,0.32,
PerfLabTests.CastingPerf.IFooObjIsIFooInterAlia,1.00,5.24,0.36,
PerfLabTests.CastingPerf.IFooObjIsDescendantOfIFoo,1.00,5.25,0.33,
PerfLabTests.CastingPerf.ObjInt,1.00,3.76,0.56,
PerfLabTests.CastingPerf.IntObj,1.00,3.42,0.53,
PerfLabTests.CastingPerf.ObjScalarValueType,1.00,3.77,0.55,
PerfLabTests.CastingPerf.ScalarValueTypeObj,1.00,3.65,0.53,
PerfLabTests.CastingPerf.ObjObjrefValueType,1.00,3.86,0.55,
PerfLabTests.CastingPerf.ObjrefValueTypeObj,1.00,3.68,0.53,
PerfLabTests.CastingPerf.FooObjCastIfIsa,1.00,4.32,0.60,
PerfLabTests.CastingPerf.CheckObjIsInterfaceYes,1.00,5.70,1.09,
PerfLabTests.CastingPerf.CheckObjIsInterfaceNo,1.00,4.87,0.85,
PerfLabTests.CastingPerf.CheckIsInstAnyIsInterfaceYes,1.00,5.70,1.09,
PerfLabTests.CastingPerf.CheckIsInstAnyIsInterfaceNo,1.00,5.99,0.84,
PerfLabTests.CastingPerf.CheckArrayIsInterfaceYes,1.00,7.93,0.53,
PerfLabTests.CastingPerf.CheckArrayIsInterfaceNo,1.00,5.58,0.36,
PerfLabTests.CastingPerf.CheckArrayIsNonvariantGenericInterface,1.00,0.19,0.16,
PerfLabTests.CastingPerf.CheckArrayIsNonvariantGenericInterfaceNo,1.00,4.11,0.49,
PerfLabTests.CastingPerf.CheckArrayIsArrayByVariance,SMALL,SMALL,SMALL,
PerfLabTests.CastingPerf.CheckListIsVariantGenericInterface,SMALL,SMALL,SMALL,
PerfLabTests.CastingPerf.CheckArrayIsVariantGenericInterfaceNo,SMALL,SMALL,SMALL,
PerfLabTests.CastingPerf.AssignArrayElementByVariance,1.00,20.16,35.67,
PerfLabTests.CastingPerf.CheckArrayIsVariantGenericInterfaceReflection,SMALL,SMALL,SMALL,
V8.Richards.Support.Bench,1.00,12.58,1.18,
System.Collections.CreateAddAndRemove<String>.List(Size: 512),1.00,6.20,1.91,
System.Collections.CreateAddAndRemove<String>.LinkedList(Size: 512),1.00,9.42,1.06,
System.Collections.CreateAddAndRemove<String>.HashSet(Size: 512),1.00,23.92,1.76,
System.Collections.CreateAddAndRemove<String>.Dictionary(Size: 512),1.00,15.22,2.34,
System.Collections.CreateAddAndRemove<String>.SortedList(Size: 512),1.00,9.84,2.63,
System.Collections.CreateAddAndRemove<String>.SortedSet(Size: 512),1.00,10.42,2.64,
System.Collections.CreateAddAndRemove<String>.SortedDictionary(Size: 512),1.00,10.39,2.45,
System.Collections.CreateAddAndRemove<String>.Stack(Size: 512),1.00,15.06,2.34,
System.Collections.CreateAddAndRemove<String>.Queue(Size: 512),1.00,18.77,2.36,
System.Tests.Perf_Guid.NewGuid,1.00,2.93,1.68,
System.Tests.Perf_Guid.ctor_str,1.00,34.29,2.66,
System.Tests.Perf_Guid.ctor_bytes,1.00,22.23,2.70,
System.Tests.Perf_Guid.EqualsSame,SMALL,SMALL,SMALL,
System.Tests.Perf_Guid.Parse,1.00,34.79,2.67,
System.Tests.Perf_Guid.ParseExactD,1.00,34.24,2.65,
System.Tests.Perf_Guid.GuidToString,1.00,44.48,1.86,
System.Tests.Perf_Guid.TryWriteBytes,1.00,29.91,2.18,
System.Net.Security.Tests.SslStreamTests.HandshakeAsync,1.00,1.03,1.00,
System.Net.Security.Tests.SslStreamTests.WriteReadAsync,1.00,4.19,0.92,
System.Net.Security.Tests.SslStreamTests.ReadWriteAsync,1.00,6.55,1.18,
System.Net.Security.Tests.SslStreamTests.ConcurrentReadWrite,1.00,3.42,1.26,
System.Net.Security.Tests.SslStreamTests.ConcurrentReadWriteLargeBuffer,1.00,7.22,1.33,
System.Tests.Perf_Int32.ToString(value: -2147483648),1.00,26.20,1.72,
System.Tests.Perf_Int32.ToStringHex(value: -2147483648),1.00,29.62,1.47,
System.Tests.Perf_Int32.Parse(value: "-2147483648"),1.00,17.24,1.45,
System.Tests.Perf_Int32.TryParse(value: "-2147483648"),1.00,19.39,1.68,
System.Tests.Perf_Int32.ParseSpan(value: "-2147483648"),1.00,16.19,1.35,
System.Tests.Perf_Int32.TryFormat(value: -2147483648),1.00,25.47,1.80,
System.Tests.Perf_Int32.TryParseSpan(value: "-2147483648"),1.00,19.48,1.70,
System.Tests.Perf_Int32.Parse(value: "12345"),1.00,19.68,1.51,
System.Tests.Perf_Int32.TryParse(value: "12345"),1.00,22.15,1.77,
System.Tests.Perf_Int32.ParseSpan(value: "12345"),1.00,17.24,1.36,
System.Tests.Perf_Int32.TryParseSpan(value: "12345"),1.00,22.64,1.87,
System.Tests.Perf_Int32.ToString(value: 4),SMALL,SMALL,SMALL,
System.Tests.Perf_Int32.ToStringHex(value: 4),1.00,29.39,1.28,
System.Tests.Perf_Int32.TryFormat(value: 4),1.00,28.24,2.50,
System.Tests.Perf_Int32.ToString(value: 12345),1.00,32.18,1.93,
System.Tests.Perf_Int32.ToStringHex(value: 12345),1.00,29.63,1.36,
System.Tests.Perf_Int32.TryFormat(value: 12345),1.00,27.04,3.60,
System.Tests.Perf_Int32.ToString(value: 2147483647),1.00,27.48,1.80,
System.Tests.Perf_Int32.ToStringHex(value: 2147483647),1.00,26.83,1.29,
System.Tests.Perf_Int32.Parse(value: "2147483647"),1.00,17.38,1.41,
System.Tests.Perf_Int32.TryParse(value: "2147483647"),1.00,20.17,1.70,
System.Tests.Perf_Int32.ParseSpan(value: "2147483647"),1.00,16.57,1.39,
System.Tests.Perf_Int32.TryFormat(value: 2147483647),1.00,25.25,4.36,
System.Tests.Perf_Int32.TryParseSpan(value: "2147483647"),1.00,14.71,1.27,
System.Tests.Perf_Int32.ParseHex(value: "3039"),1.00,24.67,1.96,
System.Tests.Perf_Int32.Parse(value: "4"),1.00,18.57,1.37,
System.Tests.Perf_Int32.ParseHex(value: "4"),1.00,21.95,1.73,
System.Tests.Perf_Int32.TryParse(value: "4"),1.00,20.99,1.54,
System.Tests.Perf_Int32.ParseSpan(value: "4"),1.00,15.45,1.17,
System.Tests.Perf_Int32.TryParseSpan(value: "4"),1.00,19.17,1.56,
System.Tests.Perf_Int32.ParseHex(value: "7FFFFFFF"),1.00,22.18,1.75,
System.Tests.Perf_Int32.ParseHex(value: "80000000"),1.00,24.28,1.87,
System.Collections.TryAddDefaultSize<String>.Dictionary(Count: 512),1.00,12.90,2.40,
System.Collections.TryAddDefaultSize<String>.ConcurrentDictionary(Count: 512),1.00,12.50,1.73,
LinqBenchmarks.Where00LinqQueryX,1.00,14.14,1.31,
LinqBenchmarks.Where00LinqMethodX,1.00,14.60,1.23,
LinqBenchmarks.Where00ForX,1.00,11.50,1.19,
LinqBenchmarks.Where01LinqQueryX,1.00,20.32,1.98,
LinqBenchmarks.Where01LinqMethodX,1.00,19.35,2.11,
LinqBenchmarks.Where01LinqMethodNestedX,1.00,24.98,1.96,
LinqBenchmarks.Where01ForX,1.00,18.29,2.02,
LinqBenchmarks.Count00LinqMethodX,1.00,12.46,1.40,
LinqBenchmarks.Count00ForX,1.00,9.84,1.05,
LinqBenchmarks.Order00LinqQueryX,1.00,17.05,1.37,
LinqBenchmarks.Order00LinqMethodX,1.00,17.03,1.36,
LinqBenchmarks.Order00ManualX,1.00,17.88,1.79,
Benchstone.BenchF.InvMt.Test,1.00,19.63,2.21,
Benchstone.BenchF.InProd.Test,1.00,13.79,1.99,
System.Collections.CtorDefaultSize<String>.List,1.00,3.02,1.03,
System.Collections.CtorDefaultSize<String>.LinkedList,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<String>.HashSet,1.00,6.19,0.92,
System.Collections.CtorDefaultSize<String>.Dictionary,1.00,8.19,1.61,
System.Collections.CtorDefaultSize<String>.Queue,1.00,2.44,0.85,
System.Collections.CtorDefaultSize<String>.Stack,1.00,1.69,0.85,
System.Collections.CtorDefaultSize<String>.SortedList,1.00,3.30,0.93,
System.Collections.CtorDefaultSize<String>.SortedSet,1.00,5.54,0.97,
System.Collections.CtorDefaultSize<String>.SortedDictionary,1.00,7.56,1.13,
System.Collections.CtorDefaultSize<String>.ConcurrentDictionary,1.00,6.79,1.36,
System.Collections.CtorDefaultSize<String>.ConcurrentQueue,1.00,7.42,1.46,
System.Collections.CtorDefaultSize<String>.ConcurrentStack,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<String>.ConcurrentBag,1.00,23.55,2.50,
System.Collections.CtorDefaultSize<String>.ImmutableArray,1.00,2.11,1.02,
System.Collections.CtorDefaultSize<String>.ImmutableDictionary,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<String>.ImmutableHashSet,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<String>.ImmutableList,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<String>.ImmutableQueue,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<String>.ImmutableStack,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<String>.ImmutableSortedDictionary,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<String>.ImmutableSortedSet,SMALL,SMALL,SMALL,
System.Net.Tests.DnsTests.GetHostEntry,1.00,1.20,1.02,
System.Net.Tests.DnsTests.GetHostName,1.00,7.73,1.31,
XmlDocumentTests.XmlDocumentTests.Perf_XmlDocument.Create,1.00,8.34,1.32,
XmlDocumentTests.XmlDocumentTests.Perf_XmlDocument.LoadXml,1.00,36.29,3.35,
XmlDocumentTests.XmlDocumentTests.Perf_XmlDocument.GetDocumentElement,SMALL,SMALL,SMALL,
MicroBenchmarks.Serializers.Json_FromString<CollectionsOfPrimitives>.Jil_,1.00,29.77,2.09,
MicroBenchmarks.Serializers.Json_FromString<CollectionsOfPrimitives>.JsonNet_,1.00,26.01,1.42,
MicroBenchmarks.Serializers.Json_FromString<CollectionsOfPrimitives>.Utf8Json_,1.00,29.86,2.49,
System.Collections.ContainsKeyTrue<Int32; Int32>.Dictionary(Size: 512),1.00,50.38,2.48,
System.Collections.ContainsKeyTrue<Int32; Int32>.IDictionary(Size: 512),1.00,38.57,1.87,
System.Collections.ContainsKeyTrue<Int32; Int32>.SortedList(Size: 512),1.00,28.74,1.71,
System.Collections.ContainsKeyTrue<Int32; Int32>.SortedDictionary(Size: 512),1.00,16.54,1.15,
System.Collections.ContainsKeyTrue<Int32; Int32>.ConcurrentDictionary(Size: 512),1.00,31.48,1.44,
System.Collections.ContainsKeyTrue<Int32; Int32>.ImmutableDictionary(Size: 512),1.00,14.67,1.32,
System.Collections.ContainsKeyTrue<Int32; Int32>.ImmutableSortedDictionary(Size: 512),1.00,25.23,1.55,
MicroBenchmarks.Serializers.Json_FromStream<CollectionsOfPrimitives>.Jil_,1.00,39.53,2.60,
MicroBenchmarks.Serializers.Json_FromStream<CollectionsOfPrimitives>.JsonNet_,1.00,31.47,1.87,
MicroBenchmarks.Serializers.Json_FromStream<CollectionsOfPrimitives>.Utf8Json_,1.00,20.02,1.75,
