Benchmark,dotnetcore_nollvm,mono_aa87d3db6d981426ecca6e2637238c8a211689a8_nollvm
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_ParallelAsync(Length: ...,1.00,1.00,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_SequentialAsync(Length...,1.00,1.00,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_ParallelAsync(Length: ...,1.00,1.00,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_SequentialAsync(Length...,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<IndexViewModel>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<IndexViewModel>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<IndexViewModel>.Utf8Json_,1.00,1.00,
Benchstone.BenchF.Secant.Test,1.00,1.00,
MicroBenchmarks.Serializers.Xml_ToStream<Location>.XmlSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_ToStream<Location>.DataContractSerializer_,1.00,1.00,
Benchstone.BenchF.SqMtx.Test,1.00,1.00,
Benchstone.BenchF.BenchMk2.Test,1.00,1.00,
BenchmarksGame.MandelBrot_7.Bench(size: 4000; lineLength: 500; checksum: "C7-E6-66-43-66-73-F8-A8-D3...,1.00,1.00,
MicroBenchmarks.Serializers.Xml_ToStream<XmlElement>.XmlSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_ToStream<XmlElement>.DataContractSerializer_,1.00,1.00,
PerfLabTests.EnumPerf.ObjectGetType,1.00,1.00,
PerfLabTests.EnumPerf.ObjectGetTypeNoBoxing,1.00,1.00,
PerfLabTests.EnumPerf.EnumEquals,1.00,1.00,
PerfLabTests.EnumPerf.EnumCompareTo(color: Red),1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<IndexViewModel>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<IndexViewModel>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<IndexViewModel>.Utf8Json_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<IndexViewModel>.DataContractJsonSerializer_,1.00,1.00,
ByteMark.BenchNumericSortJagged,1.00,1.00,
ByteMark.BenchNumericSortRectangular,1.00,1.00,
ByteMark.BenchStringSort,1.00,1.00,
ByteMark.BenchBitOps,1.00,1.00,
ByteMark.BenchEmFloat,1.00,1.00,
ByteMark.BenchEmFloatClass,1.00,1.00,
ByteMark.BenchFourier,1.00,1.00,
ByteMark.BenchAssignJagged,1.00,1.00,
ByteMark.BenchAssignRectangular,1.00,1.00,
ByteMark.BenchIDEAEncryption,1.00,1.00,
ByteMark.BenchNeuralJagged,1.00,1.00,
ByteMark.BenchNeural,1.00,1.00,
ByteMark.BenchLUDecomp,1.00,1.00,
HardwareIntrinsics.RayTracer.SoA.Render,SMALL,SMALL,
MicroBenchmarks.Serializers.Json_FromStream<LoginViewModel>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<LoginViewModel>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<LoginViewModel>.Utf8Json_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<LoginViewModel>.DataContractJsonSerializer_,1.00,1.00,
Benchstone.BenchI.IniArray.Test,1.00,1.00,
Benchstone.BenchF.Trap.Test,1.00,1.00,
PerfLabTests.LowLevelPerf.EmptyStaticFunction,1.00,1.00,
PerfLabTests.LowLevelPerf.EmptyStaticFunction5Arg,1.00,1.00,
PerfLabTests.LowLevelPerf.EmptyInstanceFunction,1.00,1.00,
PerfLabTests.LowLevelPerf.InterfaceInterfaceMethod,1.00,1.00,
PerfLabTests.LowLevelPerf.InterfaceInterfaceMethodLongHierarchy,1.00,1.00,
PerfLabTests.LowLevelPerf.InterfaceInterfaceMethodSwitchCallType,1.00,1.00,
PerfLabTests.LowLevelPerf.ClassVirtualMethod,1.00,1.00,
PerfLabTests.LowLevelPerf.SealedClassInterfaceMethod,1.00,1.00,
PerfLabTests.LowLevelPerf.StructWithInterfaceInterfaceMethod,1.00,1.00,
PerfLabTests.LowLevelPerf.StaticIntPlus,1.00,1.00,
PerfLabTests.LowLevelPerf.ObjectStringIsString,1.00,1.00,
PerfLabTests.LowLevelPerf.NewDelegateClassEmptyInstanceFn,1.00,1.00,
PerfLabTests.LowLevelPerf.NewDelegateClassEmptyStaticFn,1.00,1.00,
PerfLabTests.LowLevelPerf.InstanceDelegate,1.00,1.00,
PerfLabTests.LowLevelPerf.StaticDelegate,1.00,1.00,
PerfLabTests.LowLevelPerf.MeasureEvents,1.00,1.00,
PerfLabTests.LowLevelPerf.GenericClassWithIntGenericInstanceField,1.00,1.00,
PerfLabTests.LowLevelPerf.GenericClassGenericStaticField,1.00,1.00,
PerfLabTests.LowLevelPerf.GenericClassGenericInstanceMethod,1.00,1.00,
PerfLabTests.LowLevelPerf.GenericClassGenericStaticMethod,1.00,1.00,
PerfLabTests.LowLevelPerf.GenericGenericMethod,1.00,1.00,
PerfLabTests.LowLevelPerf.GenericClassWithSTringGenericInstanceMethod,1.00,1.00,
PerfLabTests.LowLevelPerf.ForeachOverList100Elements,1.00,1.00,
PerfLabTests.LowLevelPerf.TypeReflectionObjectGetType,1.00,1.00,
PerfLabTests.LowLevelPerf.TypeReflectionArrayGetType,1.00,1.00,
PerfLabTests.LowLevelPerf.IntegerFormatting,1.00,1.00,
BenchmarksGame.FannkuchRedux_2.RunBench(n: 10; expectedSum: 73196),1.00,1.00,
MicroBenchmarks.Serializers.Xml_ToStream<MyEventsListerViewModel>.XmlSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_ToStream<MyEventsListerViewModel>.DataContractSerializer_,1.00,1.00,
BilinearTest.Interpol_Scalar,1.00,1.00,
BilinearTest.Interpol_Vector,1.00,1.00,
BilinearTest.Interpol_AVX,SMALL,SMALL,
Devirtualization.EqualityComparer.ValueTupleCompareNoOpt,1.00,1.00,
Devirtualization.EqualityComparer.ValueTupleCompare,1.00,1.00,
Devirtualization.EqualityComparer.ValueTupleCompareCached,1.00,1.00,
Devirtualization.EqualityComparer.ValueTupleCompareWrapped,1.00,1.00,
Benchstone.BenchI.Ackermann.Test,1.00,1.00,
Benchstone.BenchI.HeapSort.Test,1.00,1.00,
PerfLabTests.DelegatePerf.DelegateInvoke,1.00,1.00,
PerfLabTests.DelegatePerf.MulticastDelegateCombineInvoke,1.00,1.00,
PerfLabTests.DelegatePerf.MulticastDelegateInvoke(length: 100),1.00,1.00,
PerfLabTests.DelegatePerf.MulticastDelegateInvoke(length: 1000),1.00,1.00,
BenchmarksGame.SpectralNorm_1.RunBench,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<CollectionsOfPrimitives>.XmlSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<CollectionsOfPrimitives>.DataContractSerializer_,1.00,1.00,
Benchstone.BenchF.LLoops.Test,1.00,1.00,
Benchstone.BenchI.Fib.Test,1.00,1.00,
Exceptions.Handling.ThrowAndCatch(kind: Software),1.00,1.00,
Exceptions.Handling.ThrowAndCatch_ManyCatchBlocks(kind: Software),1.00,1.00,
Exceptions.Handling.ThrowAndCatchFinally(kind: Software),1.00,1.00,
Exceptions.Handling.ThrowAndCatchWhen(kind: Software),1.00,1.00,
Exceptions.Handling.ThrowAndCatchWhenFinally(kind: Software),1.00,1.00,
Exceptions.Handling.ThrowAndCatchDeep(kind: Software),1.00,1.00,
Exceptions.Handling.ThrowAndCatchDeepRecursive(kind: Software),1.00,1.00,
Exceptions.Handling.MultipleNestedTryCatch_FirstCatches(kind: Software),1.00,1.00,
Exceptions.Handling.MultipleNestedTryCatch_LastCatches(kind: Software),1.00,1.00,
Exceptions.Handling.MultipleNestedTryFinally(kind: Software),1.00,1.00,
Exceptions.Handling.CatchAndRethrowDeep(kind: Software),1.00,1.00,
Exceptions.Handling.CatchAndThrowOtherDeep(kind: Software),1.00,1.00,
Exceptions.Handling.TryAndFinallyDeep(kind: Software),1.00,1.00,
Exceptions.Handling.TryAndCatchDeep_CaugtAtTheTop(kind: Software),1.00,1.00,
Exceptions.Handling.ThrowAndCatch(kind: Hardware),1.00,1.00,
Exceptions.Handling.ThrowAndCatch_ManyCatchBlocks(kind: Hardware),1.00,1.00,
Exceptions.Handling.ThrowAndCatchFinally(kind: Hardware),1.00,1.00,
Exceptions.Handling.ThrowAndCatchWhen(kind: Hardware),1.00,1.00,
Exceptions.Handling.ThrowAndCatchWhenFinally(kind: Hardware),1.00,1.00,
Exceptions.Handling.ThrowAndCatchDeep(kind: Hardware),1.00,1.00,
Exceptions.Handling.ThrowAndCatchDeepRecursive(kind: Hardware),1.00,1.00,
Exceptions.Handling.MultipleNestedTryCatch_FirstCatches(kind: Hardware),1.00,1.00,
Exceptions.Handling.MultipleNestedTryCatch_LastCatches(kind: Hardware),1.00,1.00,
Exceptions.Handling.MultipleNestedTryFinally(kind: Hardware),1.00,1.00,
Exceptions.Handling.CatchAndRethrowDeep(kind: Hardware),1.00,1.00,
Exceptions.Handling.CatchAndThrowOtherDeep(kind: Hardware),1.00,1.00,
Exceptions.Handling.TryAndFinallyDeep(kind: Hardware),1.00,1.00,
Exceptions.Handling.TryAndCatchDeep_CaugtAtTheTop(kind: Hardware),1.00,1.00,
Exceptions.Handling.ThrowAndCatch(kind: ReflectionSoftware),1.00,1.00,
Exceptions.Handling.ThrowAndCatch_ManyCatchBlocks(kind: ReflectionSoftware),1.00,1.00,
Exceptions.Handling.ThrowAndCatchDeep(kind: ReflectionSoftware),1.00,1.00,
Exceptions.Handling.ThrowAndCatchDeepRecursive(kind: ReflectionSoftware),1.00,1.00,
Exceptions.Handling.ThrowAndCatch(kind: ReflectionHardware),1.00,1.00,
